service,operation,status_code,error_code,error_message,is_implemented
acm,AddTagsToCertificate,400,ResourceNotFoundException,"Certificate with arn arn:vqyapx:acm:sa-east-1:0735856638775:32-y74/Wm7=SK/HTOt_y/_u_dQd/Gfl_XO/x.YcIw/PfQrqE/uiZCZ_/9CdEj0/3YZMz./f=MGM8/am@JQK/-BZ=E./ydHk7I/TYzwDk/R4,I8Y/q+2QG_/S=k35o/zYR,R8/KpmzVV/HYh_5R/-H49KN/Ey4AoU/TihT2O/b=@Ktl/cw-o=x/93Q=A9/7fES+x/rR7toc/-Z+e2r/pv_l5s/1JlE-c/J3m9QE/Chl13Y/dslbjo/M_oMRX/SnzP3P/.u0sw3/w4Obo6/EJ4g@W/+lm1ky/zy9vmu/1BUjoZ/mIs_0G/Y4CJ-L/4TLoq5/SD3LK,/lZ5@bm/ekr-mp/J2=RE,/m0CLcM/.WbR6y not found in account 000000000000",True
acm,DeleteCertificate,400,ResourceNotFoundException,"Certificate with arn arn:bdutqo:acm:us-east-1:4171345421387:,r=LRI/QMbzHC/3t,9w1/,cE1_4/nL+I5v/MHnQdp/WD0Co9/GVGV6C/mrA-c7/0PRiU@/=P9LdT/yGzCqg/duxB1d/JllweV/tmB0sR/0ukw67/7eyTd@/XTwRko/X-RkU./cTvIkg/HYiN2q/23mwUQ/rxCqCu/LS+O8o/qiPTR9/56o889/k1_bU7/YEzWZ=/@ux7xU/z3BgsT/.G2dDc/sr5Pj5/WeMz2d/HDW.6B/mUhD5r/qi6oTG/Uwe+Kz/GI5nqN/eR6AiC/SHPF+G/+x,dTc/iJ0O+g/k+xZOQ/v+E+kL/66btna/UtZpok/3TZSzc not found in account 000000000000",True
acm,DescribeCertificate,400,ResourceNotFoundException,"Certificate with arn arn:oyklxe:acm:eu-north-1:5745076185092:hRJczp/H1pHIz/,Z8VD,/X3k23W/J5SpG5/fqOuaR/vXwipU/M0,5t4/+iXv-h/QDPlZY/3jYVNf/ZIGjb1/wJ3A6h/-HDcBC/LXaS6u/ZlXEH0/E9MkPq/I7mBqR/8o5uIu/.mRG-s/_IkSnD/7o,UyT/x83vTy/W-TRk4/d_B190/2R.gBX/9E1X4./rd7jmZ/rMGuYW/D_rR9w/qO-kPb/xHIjOo/00L,1p/GwGbZj/kpJyMy/zH_DOO/IuUNXE/nkC-6_/G5xb9s/vJbU6-/RnRyOf/QqHN@a/RCtcSN/-iCJxN/w@@N58/BW1cM3/1LuQgJ/UfZTRN/gWa=c9/E_2k@=/5,CG7t/d0K-v./WbX0SO/2lLYk8/eSWpa9/,_SMBF/8c9j1q/UvQN40/PMzMf+/HDKm52/VxIzt2/9IjcsZ not found in account 000000000000",True
acm,ExportCertificate,400,ResourceNotFoundException,"Certificate with arn arn:reedqe:acm:ca-central-1:6332193248369:GiudCh/gGv.iQ/MKRsXI/PSv7Fs/JGHw4h/EZIoal/jvlt+n/njoN9@/7nkay,/qGjkv=/ITR1sC/.cZKbX/YGy2vX/VGeVL./3r6,Sx/XcBAXV/@U-u=J/H3ffRY/x_@vy=/NJkSum/el.XP./k_B6BB/ZbXAGq/jDY-j4/PZ9AjX/WV-Up@/ZV.ht+/FAL3ui/soc7j5/@9Xo1r/p7-fMN/kXSRT5/=l09z./R3tq5./CW0Ao7/_,.40-/CzW4-x/Z@bQ_X/=RW-,5/pBipCk/gZz.PU/vA45BP/lNW_6T/+mdP.e/KUrTZ7/@hR7z5/nLXdKq/9q=T=G/g9K=Pd/UEGzZ1/h=2WNb/WhcZse/i1TQPf/hCjjzC/3BZ-x6/p5opQN/-zxDMK/,2jlbU/syYw9r/fjYMQP/o_eIMN/bGc5xN/k2p2fc/kzCehY/BNBfbb/oF@.06/MX3AC,/3d5vFd/NlyDpg/TNsBWv/GV.20T/Iei8MC/ABOD44/NDFKap/Q_1SDN/t-WEVS/XVguEJ/Lf=1p,/HOJXC=/@MeM=U/6SeieT/Wg_EGz/hDRQXl/A-onLu/p@IQVU/tZGwO1/h1Zq=3/MsbS17/8Jef9-/LsVUOp/yI+WgA/Xij@8y/oxy_yC/+xaln8/Z_hT17/EaTJVe/@cevF4/xndVHd/yY6+3H/MyRI-N not found in account 000000000000",True
acm,GetAccountConfiguration,501,InternalFailure,API action 'GetAccountConfiguration' for service 'acm' not yet implemented or pro feature - check https://docs.localstack.cloud/user-guide/aws/feature-coverage for further information,False
acm,GetCertificate,400,ResourceNotFoundException,"Certificate with arn arn:yjchix:acm:af-south-1:5692052460269:bp3Q3r/ykRO6g/@Y.D1_/6pCViS/6LXB4X/+i0Oer/wLh+Tb/1waLcP/J0pB+7/cY1GtI/uz+-j8/YCFduz/+kYp+S/KMgplb/7S7.kh/4tr_DC/ytPUI_/626I6o/1+PW8-/6njvj./0jNQNT/DMNme2/W=jX9N/N5O-O=/+r0cJ1/br=7Pl/Vq.P9H/byWA3j/o5UqCt/2=nX7V/vOIoKu/C1ig53/mPwi66/R23VHt/m3GL=o/4TxaZv/Ure_hm/QuCjrY/V4Hsm2/C9IerD/ToQWzk/=KQvGM/Oqd-NA/nHAU0o/+bz1,y/2TeLTN/7tXoLy/y.N=4J/H9-u=2/@mbrD9/o04EFh/iZP9k=/3rxWyd/fYIG7+/qyDZT6/NADjk,/VW3LBa/jsUk3+/gX=MNi/TT3CGf/AjYc_w/5bzjPF/Q0xknT/DG2Vf./14.07f/gH3JEE/s8Azas/mC2.wf not found in account 000000000000",True
acm,ImportCertificate,400,ResourceNotFoundException,"Certificate with arn arn:dugkld:acm:us-west-2:4281891570047:NjEnQw/tnTfOI/leXvlT/AcG292/cJzbxr/tOUhCF/F_ztY,/4TLCN+/8tQ-CI/8VUAPp/IEhOUv/3AY7gd/F_+DgF/@pQI=r/7g=vhG/pd6@6k/HukSrM/weA9FX/TW@seg/gq8p+U/E5fL.g not found in account 000000000000",True
acm,ListCertificates,200,,,True
acm,ListTagsForCertificate,400,ResourceNotFoundException,"Certificate with arn arn:lzcisk:acm:us-east-2:0834013109516:qFtarV/,LG6Ly/MufzsA/P9e0Pu/f,YEXD/K1=VeO/e1r0wi/DOnghb/UNuVDy/75gNui/dmEUwa/hwN,xZ/6Gqod5/WJ9SKN/xXURZ@/GJIyfJ/4v7HCk/FgRmq_/FQrq=1/2vINSM/aT8A=K/3ToUs=/m_fmWX/kEFlh=/gTU6FP/4vH.6w/q2tg3w/LmogD0/o5DK2m/5QhK30/t9S0qz/ZonQxZ/9HpgMk/uKq=5,/JOTcXu/BTPc4w/35dl3p/0@U6d8/qVBNm6/qRKNuc/wAXMD2/8T_sPU/=oUCFH/Fb-DFj/r@Nbg-/3hqF-J/TajsBV/ZTAMX0/.jU3nZ/J-HAY4/mWKqz-/tOAhyE/jw4l@+/0c2uj0/O2BaSD/Xl4Js3/G7wuOd/6bCv-0/a3kp,K/Za7xJ9/HM@rDI/jaP=pm/ERf.-m/9I7@Bc/MCXhrS/9x.fBl/9kZz@E/Zb,WQJ/CpMG5W/e1X+pR/D+tfk4/KSjBN0/FDBLm4/3CZJHx/=hZVpw/WJzDz=/xxVIz./7OKb3G/7.J@74/fF+@e+ not found in account 000000000000",True
acm,PutAccountConfiguration,501,InternalFailure,API action 'PutAccountConfiguration' for service 'acm' not yet implemented or pro feature - check https://docs.localstack.cloud/user-guide/aws/feature-coverage for further information,False
